Pclass,Age,Fare
1,71.0,34.6542
3,16.0,8.05
3,26.0,7.8958
3,30.0,7.2292
3,29.69911764705882,8.05
1,71.0,49.5042
3,2.0,29.125
2,21.0,10.5
1,24.0,69.3
3,29.69911764705882,15.2458
2,30.0,24.0
3,29.69911764705882,7.8958
3,29.69911764705882,7.75
3,29.69911764705882,7.8958
3,23.0,7.925
1,44.0,27.7208
3,2.0,31.275
3,29.69911764705882,7.75
2,25.0,13.0
3,14.0,39.6875
2,48.0,13.0
3,29.0,7.775
1,37.0,52.5542
3,36.0,17.4
3,20.0,7.2292
3,19.0,6.75
3,29.69911764705882,19.9667
1,36.0,120.0
3,21.0,8.4333
1,51.0,61.3792
3,21.0,34.375
2,34.0,13.0
3,51.0,7.0542
2,21.0,73.5
2,42.0,13.0
3,16.0,20.25
3,22.0,7.25
3,18.0,9.35
3,25.0,0.0
3,18.0,8.05
2,23.0,10.5
3,35.0,8.05
3,29.69911764705882,6.95
3,29.69911764705882,7.75
2,34.0,13.0
3,29.69911764705882,7.75
1,37.0,53.1
1,60.0,26.55
2,36.0,26.0
3,4.0,13.4167
3,47.0,9.0
3,21.0,8.6625
2,62.0,10.5
2,28.0,24.0
2,34.0,23.0
2,57.0,12.35
2,29.69911764705882,0.0
1,35.0,26.2875
3,24.0,16.1
3,29.69911764705882,7.75
3,24.0,15.85
3,30.0,7.25
2,28.0,13.0
1,29.69911764705882,42.4
3,26.0,56.4958
3,29.69911764705882,25.4667
3,44.0,7.925
3,41.0,14.1083
3,29.69911764705882,69.55
3,51.0,7.75
3,29.69911764705882,15.5
3,22.0,7.25
3,29.69911764705882,7.8958
2,14.0,30.0708
1,55.0,30.5
3,36.0,7.8958
3,29.69911764705882,7.7333
1,27.0,30.5
1,56.0,35.5
3,38.0,7.05
1,45.0,35.5
3,30.5,8.05
3,29.69911764705882,8.05
2,42.0,13.0
3,25.0,7.25
3,29.69911764705882,8.05
3,8.0,21.075
3,26.0,16.1
2,29.69911764705882,0.0
1,22.0,151.55
3,22.0,10.5167
3,45.0,6.975
3,30.0,12.475
1,44.0,57.9792
2,37.0,26.0
2,29.69911764705882,12.35
2,27.0,10.5
1,27.0,211.5
1,40.0,134.5
3,37.0,9.5875
2,1.0,39.0
3,4.0,16.7
3,29.69911764705882,7.225
3,21.0,8.05
2,46.0,26.0
1,38.0,227.525
3,29.69911764705882,14.5
1,35.0,90.0
3,2.0,39.6875
3,45.0,7.75
3,55.5,8.05
2,30.0,10.5
3,29.69911764705882,7.8958
3,29.69911764705882,7.8958
3,26.0,8.05
3,29.69911764705882,7.7333
3,25.0,7.225
3,38.0,8.6625
2,59.0,13.5
2,24.0,27.0
1,29.69911764705882,0.0
3,29.69911764705882,15.2458
3,16.0,7.775
2,23.0,13.0
3,20.0,8.05
3,23.0,7.55
1,28.0,26.55
1,16.0,57.9792
1,65.0,26.55
2,35.0,26.0
3,22.0,7.25
1,51.0,26.55
3,6.0,12.475
3,29.69911764705882,7.8958
1,27.0,53.1
3,24.0,24.15
1,30.0,93.5
1,29.69911764705882,221.7792
3,22.0,9.8375
3,27.0,8.6625
1,42.0,52.0
3,25.0,7.775
3,1.0,46.9
3,29.69911764705882,8.05
3,21.0,7.925
3,24.0,19.2583
1,35.0,512.3292
3,1.0,20.575
1,52.0,30.5
3,25.0,7.05
3,35.0,7.8958
2,2.0,26.0
1,38.0,71.2833
3,14.0,46.9
1,19.0,53.1
3,45.0,27.9
3,29.69911764705882,15.5
3,22.0,7.8958
2,29.69911764705882,0.0
2,27.0,13.0
3,28.0,7.8958
3,29.0,7.8958
3,29.69911764705882,15.5
2,48.0,65.0
2,32.5,30.0708
1,40.0,153.4625
3,26.0,7.925
3,29.69911764705882,7.2292
1,45.0,26.55
3,29.69911764705882,7.3125
2,29.0,10.5
2,32.0,73.5
3,29.69911764705882,15.5
3,29.69911764705882,6.8583
1,29.69911764705882,146.5208
3,29.69911764705882,7.8958
1,49.0,25.9292
3,7.0,39.6875
3,29.69911764705882,7.2292
1,54.0,78.2667
2,26.0,10.5
3,24.0,9.5
3,41.0,7.125
3,18.0,18.0
3,74.0,7.775
3,11.0,31.275
3,31.0,7.8542
3,32.0,7.925
3,4.0,29.125
2,18.0,23.0
2,28.0,12.65
2,19.0,13.0
2,52.0,13.0
1,22.0,55.0
3,40.0,27.9
1,36.0,40.125
2,29.0,21.0
3,24.5,8.05
2,40.0,39.0
1,26.0,30.0
3,5.0,19.2583
1,29.0,211.3375
1,35.0,83.475
3,29.69911764705882,7.75
3,0.42,8.5167
3,29.69911764705882,7.2292
3,44.0,16.1
2,45.0,26.25
3,30.0,9.5
1,42.0,26.2875
3,25.0,7.775
3,29.69911764705882,8.1125
3,29.69911764705882,8.7125
2,16.0,10.5
2,0.83,18.75
2,4.0,23.0
1,25.0,91.0792
3,22.0,7.125
1,22.0,66.6
2,28.0,26.0
2,6.0,33.0
